Year,Month,Zone,Manpower,Target,Sales
2026,March,Gulshan Zone,5,64800,"3,010,256.50"
2026,March,Hobiganj Zone,4,58320,"1,913,675.50"
2026,March,Jamalpur Zone,7,68040,"2,213,761.50"
2026,March,Jatrabari Zone,6,116640,"5,474,222.50"
2026,March,Jessore Zone,6,75600,"3,491,809.50"
2026,March,Jhalokathi Zone,6,126360,"3,750,922.00"
2026,March,Jhenaidah Zone,12,210600,"6,468,134.50"
2026,March,Keraniganj Zone,5,58320,"4,577,309.00"
2026,March,Khagrachori Zone,7,84240,"2,500,085.00"
2026,March,Khulna Zone,6,162000,"5,328,895.00"
2026,March,Kishoreganj Zone,6,51840,"2,846,531.50"
2026,March,Kustia Zone,10,154440,"5,979,434.50"
2026,March,Lakshmipur Zone,5,37800,"4,424,209.00"
2026,March,Madaripur Zone,9,129600,"10,118,688.00"
2026,March,Malibag Zone,3,68040,"4,385,779.00"
2026,March,Manikganj Zone,5,95040,"2,935,224.00"
2026,March,Mawna Zone,5,77760,"3,370,169.00"
2026,March,Mirpur Zone,8,86400,"5,467,280.50"
2026,March,Moulvibazar Zone,3,19440,"351,467.00"
2026,March,Munshiganj Zone,5,97200,"9,530,671.00"
2026,March,Mymensingh Zone,7,86400,"2,494,821.50"
2026,March,Naogaon Zone,4,47520,"369,263.00"
2026,March,Narayanganj Zone,5,86400,"8,492,916.00"
2026,March,Narsingdi Zone,4,48600,"5,174,403.50"
2026,March,Netrokona Zone,1,6480,"192,589.50"
2026,March,Noakhali Zone,5,84240,"4,179,473.50"
2026,March,Pabna Zone,6,112320,"3,242,755.00"
2026,March,Panchagarh Zone,4,19440,"775,413.50"
2026,March,Patuakhali Zone,4,25920,"952,919.00"
2026,March,Rajshahi Zone,6,146880,"1,872,438.00"
2026,March,Rangpur Zone,6,75600,"1,804,566.00"
2026,March,Satkania Zone,5,34560,"2,272,792.50"
2026,March,Satkhira Zone,4,43200,"2,592,892.00"
2026,March,Savar Zone,4,77760,"4,766,704.50"
2026,March,Shitakunda Zone,4,34560,"3,185,627.50"
2026,March,Sirajganj Zone,8,77760,"2,285,871.00"
2026,March,Sonargaon Zone,4,95040,"6,282,171.50"
2026,March,Sunamganj Zone,2,10800,"519,043.50"
2026,March,Sylhet Zone,6,164160,"3,161,815.00"
2026,March,Tangail Zone,4,70200,"1,784,774.00"
2026,March,Tongi Zone,3,103680,"5,140,177.50"
2026,March,Uttara Zone,4,90720,"1,753,929.00"
2026,April,Agrabad Zone,3,47520,"1,986,270.50"
2026,April,Bagerhat Zone,7,58320,"3,981,778.68"
2026,April,Barishal Zone,13,155520,"5,030,277.14"
2026,April,Bhola Zone,7,43200,"2,888,305.04"
2026,April,Bogura Zone,6,64800,"1,371,682.36"
2026,April,Brahmanbaria Zone,8,77760,"9,529,777.12"
2026,April,Chakbazar Zone,4,64800,"4,174,526.90"
2026,April,Chandpur Zone,6,98280,"7,310,360.48"
2026,April,Chokoria Zone,6,51840,"3,218,812.08"
2026,April,Cox's Bazar Zone,1,9720,"45,755.00"
2026,April,Cumilla North Zone,4,37800,"4,221,090.52"
2026,April,Cumilla South Zone,5,75600,"4,319,204.42"
2026,April,Dhanmondi Zone,6,105840,"7,024,537.64"
2026,April,Dinajpur Zone,5,43200,"752,807.50"
2026,April,Faridpur Zone,8,103680,"4,771,164.40"
2026,April,Feni Zone,5,43200,"2,408,282.24"
2026,April,Gazipur Zone,5,86400,"6,604,688.82"
2026,April,Gulshan Zone,4,64800,"4,591,226.18"
2026,April,Hobiganj Zone,6,58320,"2,246,102.00"
2026,April,Jamalpur Zone,7,68040,"1,551,210.88"
2026,April,Jatrabari Zone,6,103680,"7,356,654.30"
2026,April,Jessore Zone,6,75600,"3,990,088.34"
2026,April,Jhalokathi Zone,6,112320,"3,858,653.54"
2026,April,Jhenaidah Zone,14,194400,"6,061,698.50"
2026,April,Keraniganj Zone,5,68040,"5,539,787.50"
2026,April,Khagrachori Zone,7,98280,"2,968,020.50"
2026,April,Khulna Zone,7,162000,"5,196,320.00"
2026,April,Kishoreganj Zone,6,51840,"3,115,484.00"
2026,April,Kustia Zone,11,154440,"5,687,689.06"
2026,April,Lakshmipur Zone,5,45360,"5,152,078.98"
2026,April,Madaripur Zone,10,129600,"12,559,132.04"
2026,April,Malibag Zone,3,77760,"5,632,694.48"
2026,April,Manikganj Zone,6,95040,"4,600,640.76"
2026,April,Mawna Zone,5,64800,"4,343,880.32"
2026,April,Mirpur Zone,9,86400,"6,236,428.18"
2026,April,Moulvibazar Zone,3,19440,"1,825,479.60"
2026,April,Munshiganj Zone,5,86400,"8,855,757.92"
2026,April,Mymensingh Zone,8,97200,"3,304,887.00"
2026,April,Naogaon Zone,3,47520,"159,176.00"
2026,April,Narayanganj Zone,5,97200,"8,799,553.00"
2026,April,Narsingdi Zone,4,48600,"5,468,920.30"
2026,April,Netrokona Zone,2,6480,"334,298.00"
2026,April,Noakhali Zone,5,84240,"4,987,153.72"
2026,April,Pabna Zone,7,112320,"3,634,336.92"
2026,April,Panchagarh Zone,4,38880,"1,208,620.50"
2026,April,Patuakhali Zone,4,25920,"1,592,800.50"
2026,April,Rajshahi Zone,6,146880,"2,289,198.56"
2026,April,Rangpur Zone,7,90720,"1,757,759.80"
2026,April,Satkania Zone,6,51840,"3,333,213.84"
2026,April,Satkhira Zone,4,43200,"3,020,033.02"
2026,April,Savar Zone,5,77760,"5,580,287.50"
2026,April,Shitakunda Zone,4,34560,"3,171,310.28"
2026,April,Sirajganj Zone,7,68040,"2,578,769.08"
2026,April,Sonargaon Zone,5,95040,"7,085,819.50"
2026,April,Sunamganj Zone,2,10800,"728,056.00"
2026,April,Sylhet Zone,6,164160,"3,120,478.50"
2026,April,Tangail Zone,4,56160,"1,844,264.04"
2026,April,Tongi Zone,3,103680,"7,715,523.26"
2026,April,Uttara Zone,3,75600,"3,562,881.22"
2026,May,Agrabad Zone,4,71280,"1,972,368.42"
2026,May,Bagerhat Zone,8,58320,"3,727,449.00"
2026,May,Barishal Zone,9,190080,"5,802,919.08"
2026,May,Bhola Zone,6,43200,"3,578,954.46"
2026,May,Bogura Zone,6,90720,"1,469,797.10"
2026,May,Brahmanbaria Zone,8,87480,"9,991,107.10"
2026,May,Chakbazar Zone,4,64800,"4,416,207.36"
2026,May,Chandpur Zone,7,112320,"8,049,326.56"
2026,May,Chokoria Zone,6,51840,"4,445,775.34"
2026,May,Cox's Bazar Zone,1,9720,"235,885.50"
2026,May,Cumilla North Zone,4,45360,"5,359,203.00"
2026,May,Cumilla South Zone,5,75600,"4,683,642.38"
2026,May,Dhanmondi Zone,6,120960,"8,376,767.70"
2026,May,Dinajpur Zone,4,54000,"648,247.96"
2026,May,Faridpur Zone,8,116640,"5,103,534.90"
2026,May,Feni Zone,3,43200,"3,028,874.80"
2026,May,Gazipur Zone,4,97200,"6,493,724.24"
2026,May,Gulshan Zone,4,64800,"5,801,055.22"
2026,May,Hobiganj Zone,5,58320,"3,020,253.88"
2026,May,Jamalpur Zone,6,68040,"1,566,125.38"
2026,May,Jatrabari Zone,8,129600,"8,483,515.68"
2026,May,Jessore Zone,9,64800,"3,610,713.46"
2026,May,Jhalokathi Zone,6,126360,"4,784,128.46"
2026,May,Jhenaidah Zone,11,194400,"6,024,697.50"
2026,May,Keraniganj Zone,5,68040,"7,064,297.00"
2026,May,Khagrachori Zone,9,112320,"3,026,429.26"
2026,May,Khulna Zone,7,178200,"4,423,796.62"
2026,May,Kishoreganj Zone,4,51840,"2,650,856.00"
2026,May,Kustia Zone,9,154440,"5,934,427.22"
2026,May,Lakshmipur Zone,6,45360,"6,054,458.98"
2026,May,Madaripur Zone,11,129600,"13,141,687.28"
2026,May,Malibag Zone,4,77760,"5,029,576.14"
2026,May,Manikganj Zone,5,95040,"4,208,951.56"
2026,May,Mawna Zone,5,77760,"4,595,728.44"
2026,May,Mirpur Zone,12,97200,"6,721,745.26"
2026,May,Moulvibazar Zone,2,38880,"1,624,210.00"
2026,May,Munshiganj Zone,5,97200,"10,373,003.72"
2026,May,Mymensingh Zone,8,97200,"2,563,311.00"
2026,May,Naogaon Zone,3,59400,"225,668.00"
2026,May,Narayanganj Zone,5,97200,"10,465,385.28"
2026,May,Narsingdi Zone,5,48600,"5,580,984.86"
2026,May,Netrokona Zone,3,19440,"1,257,640.04"
2026,May,Noakhali Zone,5,112320,"6,261,268.00"
2026,May,Pabna Zone,8,112320,"3,635,830.02"
2026,May,Panchagarh Zone,6,48600,"1,338,788.50"
2026,May,Patuakhali Zone,6,34560,"2,379,741.10"
2026,May,Rajshahi Zone,7,146880,"2,224,873.28"
2026,May,Rangpur Zone,8,136080,"2,106,968.00"
2026,May,Satkania Zone,6,68800,"4,844,015.64"
2026,May,Satkhira Zone,4,43200,"2,259,093.00"
2026,May,Savar Zone,4,77760,"6,287,285.00"
2026,May,Shitakunda Zone,4,34560,"3,354,500.58"
2026,May,Sirajganj Zone,6,58320,"2,242,007.88"
2026,May,Sonargaon Zone,4,95040,"6,946,356.50"
2026,May,Sunamganj Zone,2,10800,"267,323.50"
2026,May,Sylhet Zone,7,184680,"3,258,826.18"
2026,May,Tangail Zone,6,84240,"2,911,069.58"
2026,May,Tongi Zone,3,103680,"8,338,032.02"
2026,May,Uttara Zone,4,105840,"4,207,735.40"
2026,June,Agrabad Zone,4,71280,"1,300,128.34"
2026,June,Bagerhat Zone,7,58320,"3,949,235.50"
2026,June,Barishal Zone,10,190080,"7,114,390.30"
2026,June,Bhola Zone,6,43200,"2,798,012.66"
2026,June,Bogura Zone,6,90720,"1,575,759.14"
2026,June,Brahmanbaria Zone,8,87480,"10,154,510.20"
2026,June,Chakbazar Zone,4,64800,"3,623,772.50"
2026,June,Chandpur Zone,7,112320,"7,036,146.44"
2026,June,Chokoria Zone,6,51840,"3,124,593.48"
2026,June,Cox's Bazar Zone,3,9720,"495,736.50"
2026,June,Cumilla North Zone,4,45360,"4,891,191.76"
2026,June,Cumilla South Zone,6,75600,"5,156,766.96"
2026,June,Dhanmondi Zone,6,120960,"11,911,291.60"
2026,June,Dinajpur Zone,6,54000,"1,168,937.76"
2026,June,Faridpur Zone,8,116640,"5,702,594.22"
2026,June,Feni Zone,4,43200,"2,839,867.68"
2026,June,Gazipur Zone,4,97200,"5,670,630.22"
2026,June,Gulshan Zone,3,64800,"3,362,605.18"
2026,June,Hobiganj Zone,5,58320,"2,570,306.56"
2026,June,Jamalpur Zone,3,68040,"703,510.10"
2026,June,Jatrabari Zone,8,129600,"7,998,736.50"
2026,June,Jessore Zone,8,64800,"4,140,600.22"
2026,June,Jhalokathi Zone,6,126360,"5,008,365.84"
2026,June,Jhenaidah Zone,11,194400,"6,759,897.00"
2026,June,Keraniganj Zone,5,68040,"7,653,386.00"
2026,June,Khagrachori Zone,7,112320,"2,608,967.42"
2026,June,Khulna Zone,11,178200,"5,379,246.76"
2026,June,Kishoreganj Zone,6,51840,"2,945,459.06"
2026,June,Kustia Zone,8,154440,"5,740,412.70"
2026,June,Lakshmipur Zone,6,45360,"5,699,328.32"
2026,June,Madaripur Zone,10,129600,"13,052,584.66"
2026,June,Malibag Zone,4,77760,"3,026,130.88"
2026,June,Manikganj Zone,6,95040,"4,337,119.18"
2026,June,Mawna Zone,5,77760,"4,048,973.44"
2026,June,Mirpur Zone,17,97200,"5,264,422.88"
2026,June,Moulvibazar Zone,2,38880,"1,967,849.00"
2026,June,Munshiganj Zone,5,97200,"10,346,604.66"
2026,June,Mymensingh Zone,8,97200,"2,647,514.00"
2026,June,Naogaon Zone,3,59400,"1,125,109.00"
2026,June,Narayanganj Zone,7,97200,"10,443,495.92"
2026,June,Narsingdi Zone,5,48600,"7,403,766.02"
2026,June,Netrokona Zone,3,19440,"917,276.50"
2026,June,Noakhali Zone,8,112320,"5,757,284.84"
2026,June,Pabna Zone,6,112320,"3,242,003.00"
2026,June,Panchagarh Zone,5,48600,"1,535,736.00"
2026,June,Patuakhali Zone,6,34560,"2,477,871.50"
2026,June,Rajshahi Zone,6,146880,"2,361,234.00"
2026,June,Rangpur Zone,8,136080,"2,018,081.96"
2026,June,Satkania Zone,6,68800,"3,269,656.90"
2026,June,Satkhira Zone,5,43200,"2,698,627.16"
2026,June,Savar Zone,6,77760,"5,827,877.50"
2026,June,Shitakunda Zone,5,34560,"2,897,268.92"
2026,June,Sirajganj Zone,7,58320,"2,147,658.60"
2026,June,Sonargaon Zone,4,95040,"7,152,809.44"
2026,June,Sunamganj Zone,1,10800,"309,153.00"
2026,June,Sylhet Zone,8,184680,"4,086,237.84"
2026,June,Tangail Zone,5,84240,"2,083,784.72"
2026,June,Tongi Zone,3,103680,"7,509,401.18"
2026,June,Uttara Zone,3,105840,"5,450,340.50"
2026,July,Agrabad Zone,3,80080,"783,617.00"
2026,July,Bagerhat Zone,7,74880,"3,870,563.80"
2026,July,Barishal Zone,10,199680,"5,814,576.16"
2026,July,Bhola Zone,5,41600,"2,590,946.02"
2026,July,Bogura Zone,7,87360,"886,520.38"
2026,July,Brahmanbaria Zone,8,74880,"9,061,090.98"
2026,July,Chakbazar Zone,5,83200,"4,692,115.00"
2026,July,Chandpur Zone,7,108160,"8,728,945.64"
2026,July,Chokoria Zone,6,58240,"3,026,380.82"
2026,July,Cox's Bazar Zone,6,46800,"686,826.96"
2026,July,Cumilla North Zone,4,43680,"6,214,298.00"
2026,July,Cumilla South Zone,5,83200,"6,051,513.56"
2026,July,Dhanmondi Zone,5,145600,"8,845,932.60"
2026,July,Dinajpur Zone,6,62400,"1,275,356.88"
2026,July,Faridpur Zone,8,99840,"5,149,168.70"
2026,July,Feni Zone,5,49920,"2,841,532.20"
2026,July,Gazipur Zone,4,104000,"6,584,725.04"
2026,July,Gulshan Zone,4,83200,"868,603.92"
2026,July,Hobiganj Zone,5,46800,"2,136,206.56"
2026,July,Jamalpur Zone,5,56160,"1,377,986.50"
2026,July,Jatrabari Zone,8,112320,"8,184,285.38"
2026,July,Jessore Zone,9,72800,"3,408,750.22"
2026,July,Jhalokathi Zone,7,148720,"4,010,119.50"
2026,July,Jhenaidah Zone,11,187200,"6,838,512.12"
2026,July,Keraniganj Zone,5,65520,"7,881,811.50"
2026,July,Khagrachori Zone,7,108160,"2,914,339.38"
2026,July,Khulna Zone,8,187200,"9,795,485.28"
2026,July,Kishoreganj Zone,5,49920,"1,880,947.50"
2026,July,Kustia Zone,9,148720,"6,627,091.12"
2026,July,Lakshmipur Zone,6,50960,"6,080,992.90"
2026,July,Madaripur Zone,10,112320,"12,666,410.80"
2026,July,Malibag Zone,3,56160,"2,955,479.22"
2026,July,Manikganj Zone,5,91520,"6,557,659.10"
2026,July,Mawna Zone,5,74880,"5,213,990.78"
2026,July,Mirpur Zone,13,93600,"6,870,521.64"
2026,July,Moulvibazar Zone,3,46800,"2,036,744.98"
2026,July,Munshiganj Zone,6,93600,"10,554,388.78"
2026,July,Mymensingh Zone,9,83200,"2,189,893.50"
2026,July,Naogaon Zone,3,45760,"877,233.66"
2026,July,Narayanganj Zone,5,104000,"9,983,205.34"
2026,July,Narsingdi Zone,5,65520,"7,904,319.50"
2026,July,Netrokona Zone,3,24960,"671,219.50"
2026,July,Noakhali Zone,7,148720,"4,857,145.98"
2026,July,Pabna Zone,6,108160,"2,667,515.76"
2026,July,Panchagarh Zone,6,65520,"1,617,988.00"
2026,July,Patuakhali Zone,7,41600,"3,099,860.80"
2026,July,Rajshahi Zone,7,141440,"1,723,169.40"
2026,July,Rangpur Zone,7,131040,"2,270,920.00"
2026,July,Satkania Zone,5,49920,"3,206,800.54"
2026,July,Satkhira Zone,6,49920,"2,044,036.78"
2026,July,Savar Zone,5,74880,"7,348,508.00"
2026,July,Shitakunda Zone,5,49920,"2,606,201.28"
2026,July,Sirajganj Zone,6,65520,"1,620,782.50"
2026,July,Sonargaon Zone,6,114400,"8,952,647.34"
2026,July,Sunamganj Zone,4,15600,"830,375.50"
2026,July,Sylhet Zone,6,158080,"2,972,256.32"
2026,July,Tangail Zone,7,94640,"3,573,614.20"
2026,July,Tongi Zone,4,124800,"8,090,513.54"
2026,July,Uttara Zone,3,101920,"4,124,988.00"
2026,August,Agrabad Zone,2,130680,"1,194,709.50"
2026,August,Bagerhat Zone,7,155520,"4,958,960.00"
2026,August,Barishal Zone,10,380160,"9,612,411.80"
2026,August,Bhola Zone,5,95040,"3,649,251.76"
2026,August,Bogura Zone,5,181440,"808,452.82"
2026,August,Brahmanbaria Zone,8,155520,"11,115,909.38"
2026,August,Chakbazar Zone,6,172800,"7,707,364.50"
2026,August,Chandpur Zone,8,280800,"9,193,327.20"
2026,August,Chokoria Zone,6,112320,"4,161,413.08"
2026,August,Cox's Bazar Zone,5,106920,"1,187,438.18"
2026,August,Cumilla North Zone,4,90720,"7,093,238.30"
2026,August,Cumilla South Zone,5,162000,"5,024,741.10"
2026,August,Dhanmondi Zone,6,317520,"7,380,551.10"
2026,August,Dinajpur Zone,7,129600,"1,255,357.10"
2026,August,Faridpur Zone,10,233280,"6,467,936.38"
2026,August,Feni Zone,5,103680,"2,109,218.56"
2026,August,Gazipur Zone,4,226800,"8,064,323.28"
2026,August,Gulshan Zone,4,172800,"3,350,457.00"
2026,August,Hobiganj Zone,5,116640,"2,849,292.06"
2026,August,Jamalpur Zone,6,116640,"2,379,201.00"
2026,August,Jatrabari Zone,7,233280,"9,074,513.22"
2026,August,Jessore Zone,8,162000,"3,317,170.68"
2026,August,Jhalokathi Zone,8,266760,"4,857,480.00"
2026,August,Jhenaidah Zone,11,405000,"6,032,580.72"
2026,August,Keraniganj Zone,5,136080,"8,300,902.50"
2026,August,Khagrachori Zone,7,210600,"3,740,242.00"
2026,August,Khulna Zone,8,356400,"8,568,370.72"
2026,August,Kishoreganj Zone,6,103680,"2,586,418.50"
2026,August,Kustia Zone,9,294840,"7,777,218.76"
2026,August,Lakshmipur Zone,7,105840,"6,331,323.36"
2026,August,Madaripur Zone,8,259200,"12,228,525.88"
2026,August,Malibag Zone,3,126000,"3,444,190.00"
2026,August,Manikganj Zone,5,190080,"6,442,825.86"
2026,August,Mawna Zone,6,168480,"6,513,291.82"
2026,August,Mirpur Zone,13,194400,"7,220,898.88"
2026,August,Moulvibazar Zone,6,126360,"1,621,175.38"
2026,August,Munshiganj Zone,5,216000,"10,166,284.56"
2026,August,Mymensingh Zone,7,183600,"2,530,829.00"
2026,August,Naogaon Zone,5,118800,"1,110,771.08"
2026,August,Narayanganj Zone,5,216000,"11,370,277.38"
2026,August,Narsingdi Zone,5,136080,"6,559,940.50"
2026,August,Netrokona Zone,5,45360,"672,860.00"
2026,August,Noakhali Zone,6,294840,"6,581,006.26"
2026,August,Pabna Zone,8,238680,"3,363,450.26"
2026,August,Panchagarh Zone,8,145800,"1,888,701.00"
2026,August,Patuakhali Zone,7,112320,"3,391,768.18"
2026,August,Rajshahi Zone,5,293760,"1,977,228.00"
2026,August,Rangpur Zone,7,257040,"1,956,943.56"
2026,August,Satkania Zone,6,95040,"3,864,711.08"
2026,August,Satkhira Zone,6,95040,"2,295,126.60"
2026,August,Savar Zone,4,155520,"6,230,856.50"
2026,August,Shitakunda Zone,5,103680,"2,777,606.60"
2026,August,Sirajganj Zone,9,116640,"2,524,210.66"
2026,August,Sonargaon Zone,5,237600,"8,357,971.00"
2026,August,Sunamganj Zone,4,43200,"1,139,941.50"
2026,August,Sylhet Zone,5,307800,"2,341,988.54"
2026,August,Tangail Zone,6,224640,"4,232,633.92"
2026,August,Tongi Zone,4,246240,"8,317,100.66"
2026,August,Uttara Zone,4,226800,"2,315,114.00"
2026,September,Agrabad Zone,2,130680,"766,756.00"
2026,September,Bagerhat Zone,7,155520,"2,910,000.78"
2026,September,Barishal Zone,8,380160,"3,431,375.56"
2026,September,Bhola Zone,6,95040,"2,149,763.14"
2026,September,Bogura Zone,4,181440,"442,826.00"
2026,September,Brahmanbaria Zone,8,155520,"6,516,819.50"
2026,September,Chakbazar Zone,6,172800,"4,084,897.06"
2026,September,Chandpur Zone,8,280800,"6,083,173.98"
2026,September,Chokoria Zone,6,112320,"2,126,637.50"
2026,September,Cox's Bazar Zone,5,106920,"1,079,307.64"
2026,September,Cumilla North Zone,3,90720,"2,567,996.50"
2026,September,Cumilla South Zone,5,162000,"2,671,156.54"
2026,September,Dhanmondi Zone,5,317520,"4,359,438.50"
2026,September,Dinajpur Zone,5,129600,"489,269.00"
2026,September,Faridpur Zone,8,233280,"3,341,250.00"
2026,September,Feni Zone,4,103680,"1,858,598.50"
2026,September,Gazipur Zone,4,226800,"3,578,424.90"
2026,September,Gulshan Zone,3,172800,"740,315.50"
2026,September,Hobiganj Zone,5,116640,"1,525,973.50"
2026,September,Jamalpur Zone,6,116640,"2,147,365.00"
2026,September,Jatrabari Zone,7,233280,"6,703,795.00"
2026,September,Jessore Zone,6,162000,"1,994,433.00"
2026,September,Jhalokathi Zone,10,266760,"2,653,823.00"
2026,September,Jhenaidah Zone,9,405000,"3,064,133.90"
2026,September,Keraniganj Zone,5,136080,"5,077,440.50"
2026,September,Khagrachori Zone,6,210600,"1,832,495.00"
2026,September,Khulna Zone,8,356400,"5,556,241.50"
2026,September,Kishoreganj Zone,6,103680,"1,175,181.00"
2026,September,Kustia Zone,10,294840,"3,793,938.52"
2026,September,Lakshmipur Zone,6,105840,"4,219,717.98"
2026,September,Madaripur Zone,10,259200,"6,988,617.84"
2026,September,Malibag Zone,2,126000,"1,251,453.00"
2026,September,Manikganj Zone,5,190080,"2,164,593.48"
2026,September,Mawna Zone,6,168480,"3,638,932.30"
2026,September,Mirpur Zone,10,194400,"4,002,848.50"
2026,September,Moulvibazar Zone,2,126360,"309,969.50"
2026,September,Munshiganj Zone,5,216000,"7,306,838.00"
2026,September,Mymensingh Zone,6,183600,"1,106,282.00"
2026,September,Naogaon Zone,6,118800,"848,768.38"
2026,September,Narayanganj Zone,5,216000,"3,503,208.88"
2026,September,Narsingdi Zone,4,136080,"3,427,110.50"
2026,September,Netrokona Zone,3,45360,"210,438.00"
2026,September,Noakhali Zone,6,294840,"2,599,026.78"
2026,September,Pabna Zone,9,238680,"2,337,759.76"
2026,September,Panchagarh Zone,9,145800,"1,084,126.00"
2026,September,Patuakhali Zone,7,112320,"2,856,461.56"
2026,September,Rajshahi Zone,6,293760,"1,901,914.66"
2026,September,Rangpur Zone,6,257040,"1,398,048.50"
2026,September,Satkania Zone,5,95040,"1,753,097.50"
2026,September,Satkhira Zone,5,95040,"1,828,646.94"
2026,September,Savar Zone,4,155520,"2,475,158.50"
2026,September,Shitakunda Zone,4,103680,"1,673,359.50"
