Year,Month,Zone,Item,Manpower,Target,Sales
2026,January,Patuakhali Zone,Atta 1 kg,1,33280,"1,188.00"
2026,January,Patuakhali Zone,Brown Atta 1 kg,1,33280,"1,026.00"
2026,January,Patuakhali Zone,Essential Mustard Oil 16 Kg Tin,1,33280,"22,680.00"
2026,January,Patuakhali Zone,Essential Mustard Oil 8 Kg Tin,1,33280,"10,140.00"
2026,January,Patuakhali Zone,Suji 500 g,1,33280,"1,110.00"
2026,January,Patuakhali Zone,Tea LEAF 500 gm,1,33280,330.00
2026,January,Sylhet Zone,Atta 1 kg,1,158080,297.00
2026,January,Uttara Zone,Atta 1 kg,3,87360,"30,690.00"
2026,January,Uttara Zone,Atta 2 kg,3,87360,"53,410.00"
2026,January,Uttara Zone,Atta 5 kg,1,87360,"2,460.00"
2026,January,Uttara Zone,Biryani Masala 40gm (C),1,87360,"1,250.00"
2026,January,Uttara Zone,Brown Atta 1 kg,2,87360,"25,308.00"
2026,January,Uttara Zone,Brown Atta 2 kg,1,87360,"5,287.50"
2026,January,Uttara Zone,Chinigura Premium 1 kg (T),3,87360,"103,210.00"
2026,January,Uttara Zone,Deshi Basmoti 5 Kg (T),2,87360,"13,120.00"
2026,January,Uttara Zone,Essential Miniket 10 kg(T),2,87360,"12,450.00"
2026,January,Uttara Zone,Essential Mustard Oil 16 Kg Tin,1,87360,"6,480.00"
2026,January,Uttara Zone,Essential Mustard Oil 8 Kg Tin,1,87360,"6,760.00"
2026,January,Uttara Zone,Essential Puffed Rice 400 Gm,3,87360,"15,012.00"
2026,January,Uttara Zone,Gram flour 500gm (C),1,87360,420.00
2026,January,Uttara Zone,Iodized Salt 1 kg,2,87360,"9,581.00"
2026,January,Uttara Zone,Iodized Salt 500gm,1,87360,"2,625.00"
2026,January,Uttara Zone,Katari Najir 10 kg (T),2,87360,"10,120.00"
2026,January,Uttara Zone,Katari Najir 5 kg (T),1,87360,"22,290.00"
2026,January,Uttara Zone,Lachcha Semai 200gm (C),2,87360,"7,600.00"
2026,January,Uttara Zone,Maida 1 kg,2,87360,"13,090.00"
2026,January,Uttara Zone,Maida 2 kg,2,87360,"2,006.00"
2026,January,Uttara Zone,Miniket 5 kg (T),1,87360,"1,350.00"
2026,January,Uttara Zone,Mustard oil 1000 ML,2,87360,"13,432.00"
2026,January,Uttara Zone,Mustard oil 200 ML,1,87360,937.50
2026,January,Uttara Zone,Mustard oil 250 ML,1,87360,"1,386.00"
2026,January,Uttara Zone,Mustard oil 500 ML,2,87360,"7,852.00"
2026,January,Uttara Zone,Mustard oil 80 ML,2,87360,"7,552.50"
2026,January,Uttara Zone,Paijam 25 kg (C),1,87360,"1,580.00"
2026,January,Uttara Zone,Premium Basmati 1 kg (T),2,87360,"2,450.00"
2026,January,Uttara Zone,Premium katari Ghee Bhog 5 kg (T),2,87360,"1,485.00"
2026,January,Uttara Zone,Red Lentil 1 kg,2,87360,"1,710.00"
2026,January,Uttara Zone,Suji 500 g,2,87360,"12,136.00"
2026,January,Uttara Zone,Tea LEAF 500 gm,1,87360,"4,620.00"
2026,February,Agrabad Zone,Atta 1 kg,2,57200,"233,506.50"
2026,February,Agrabad Zone,Atta 2 kg,1,57200,510.00
2026,February,Agrabad Zone,Atta 25 kg,1,57200,"18,400.00"
2026,February,Agrabad Zone,Atta 5 kg,2,57200,"40,590.00"
2026,February,Agrabad Zone,Biryani Masala 40gm (C),1,57200,"3,100.00"
2026,February,Agrabad Zone,Brown Atta 1 kg,2,57200,"45,486.00"
2026,February,Agrabad Zone,Chicken Masala 100gm (C),1,57200,"3,912.00"
2026,February,Agrabad Zone,Chinigura Premium 1 kg (T),2,57200,"273,244.00"
2026,February,Agrabad Zone,Essential Miniket 10 kg(T),1,57200,900.00
2026,February,Agrabad Zone,Essential Mustard Oil 16 Kg Tin,2,57200,"240,200.00"
2026,February,Agrabad Zone,Essential Mustard Oil 8 Kg Tin,2,57200,"152,090.00"
2026,February,Agrabad Zone,Essential Puffed Rice 400 Gm,1,57200,"19,710.00"
2026,February,Agrabad Zone,Iodized Salt 1 kg,2,57200,"59,563.00"
2026,February,Agrabad Zone,Iodized Salt 500gm,2,57200,"15,592.50"
2026,February,Agrabad Zone,Katari Najir 10 kg (T),1,57200,"1,880.00"
2026,February,Agrabad Zone,Katari Najir 5 kg (T),2,57200,"12,815.00"
2026,February,Agrabad Zone,Lachcha Semai 200gm (C),2,57200,"58,330.00"
2026,February,Agrabad Zone,Lentil Medium- 25 Kg (C),2,57200,"77,420.00"
2026,February,Agrabad Zone,Maida 1 kg,2,57200,"87,736.00"
2026,February,Agrabad Zone,Maida 25 kg (C),2,57200,"97,500.00"
2026,February,Agrabad Zone,Meat Masala 100gm (C),1,57200,"2,184.00"
2026,February,Agrabad Zone,Miniket 5 kg (T),2,57200,"8,595.00"
2026,February,Agrabad Zone,Mustard Oil 5 Liter,1,57200,"1,130.00"
2026,February,Agrabad Zone,Mustard oil 1000 ML,2,57200,"14,600.00"
2026,February,Agrabad Zone,Mustard oil 200 ML,2,57200,"7,812.50"
2026,February,Agrabad Zone,Mustard oil 250 ML,1,57200,"16,093.00"
2026,February,Agrabad Zone,Mustard oil 500 ML,2,57200,"7,852.00"
2026,February,Agrabad Zone,Mustard oil 80 ML,2,57200,"16,615.50"
2026,February,Agrabad Zone,Premium Basmati 1 kg (T),2,57200,"5,250.00"
2026,February,Agrabad Zone,Premium katari Ghee Bhog 5 kg (T),1,57200,"9,405.00"
2026,February,Agrabad Zone,Red Lentil 1 kg,1,57200,"4,104.00"
2026,February,Agrabad Zone,Suji 500 g,2,57200,"64,565.00"
2026,February,Agrabad Zone,Tea LEAF 500 gm,1,57200,990.00
2026,February,Bagerhat Zone,Atta 1 kg,7,56160,"526,614.00"
2026,February,Bagerhat Zone,Atta 2 kg,2,56160,"10,550.00"
2026,February,Bagerhat Zone,Atta 25 kg,3,56160,"13,800.00"
2026,February,Bagerhat Zone,Atta 5 kg,2,56160,"12,300.00"
2026,February,Bagerhat Zone,Biryani Masala 40gm (C),4,56160,"14,750.00"
2026,February,Bagerhat Zone,Brown Atta 1 kg,7,56160,"102,372.00"
2026,February,Bagerhat Zone,Chicken Masala 100gm (C),1,56160,"2,608.00"
2026,February,Bagerhat Zone,Chinigura Premium 1 kg (T),6,56160,"584,513.00"
2026,February,Bagerhat Zone,Deshi Basmoti 5 Kg (T),7,56160,"69,185.00"
2026,February,Bagerhat Zone,Essential Miniket 10 kg(T),3,56160,"15,300.00"
2026,February,Bagerhat Zone,Essential Mustard Oil 16 Kg Tin,6,56160,"461,200.00"
2026,February,Bagerhat Zone,Essential Mustard Oil 8 Kg Tin,6,56160,"625,320.00"
2026,February,Bagerhat Zone,Essential Puffed Rice 400 Gm,6,56160,"11,340.00"
2026,February,Bagerhat Zone,Essentials Chili Powder 5 Kg,1,56160,"4,875.00"
2026,February,Bagerhat Zone,Essentials Turmeric Powder 5 Kg,1,56160,"1,625.00"
2026,February,Bagerhat Zone,Iodized Salt 1 kg,5,56160,"187,767.50"
2026,February,Bagerhat Zone,Iodized Salt 500gm,4,56160,"116,217.50"
2026,February,Bagerhat Zone,Katari Najir 10 kg (T),2,56160,"9,400.00"
2026,February,Bagerhat Zone,Katari Najir 5 kg (T),7,56160,"78,770.00"
2026,February,Bagerhat Zone,Lachcha Semai 200gm (C),5,56160,"166,060.00"
2026,February,Bagerhat Zone,Maida 1 kg,7,56160,"94,169.00"
2026,February,Bagerhat Zone,Maida 25 kg (C),1,56160,"1,300.00"
2026,February,Bagerhat Zone,Meat Masala 100gm (C),2,56160,756.00
2026,February,Bagerhat Zone,Miniket 5 kg (T),6,56160,"62,765.00"
2026,February,Bagerhat Zone,Mustard Oil 5 Liter,2,56160,"2,260.00"
2026,February,Bagerhat Zone,Mustard oil 1000 ML,5,56160,"11,096.00"
2026,February,Bagerhat Zone,Mustard oil 200 ML,5,56160,"41,375.00"
2026,February,Bagerhat Zone,Mustard oil 250 ML,4,56160,"61,908.00"
2026,February,Bagerhat Zone,Mustard oil 500 ML,6,56160,"68,252.00"
2026,February,Bagerhat Zone,Mustard oil 80 ML,6,56160,"49,237.00"
2026,February,Bagerhat Zone,Premium Basmati 1 kg (T),5,56160,"20,650.00"
2026,February,Bagerhat Zone,Premium katari Ghee Bhog 5 kg (T),2,56160,"2,475.00"
2026,February,Bagerhat Zone,Red Lentil 1 kg,1,56160,570.00
2026,February,Bagerhat Zone,Roast Masala 35gm (C),1,56160,110.00
2026,February,Bagerhat Zone,Suji 200 g,6,56160,"30,240.00"
2026,February,Bagerhat Zone,Suji 500 g,7,56160,"54,908.00"
2026,February,Bagerhat Zone,Tea DUST 500 gm,2,56160,"15,210.00"
2026,February,Bagerhat Zone,Tea LEAF 500 gm,2,56160,"20,790.00"
2026,February,Barishal Zone,Atta 1 kg,8,133120,"539,124.00"
2026,February,Barishal Zone,Atta 2 kg,5,133120,"68,376.00"
2026,February,Barishal Zone,Atta 25 kg,1,133120,"5,750.00"
2026,February,Barishal Zone,Atta 5 kg,5,133120,"122,508.00"
2026,February,Barishal Zone,Biryani Masala 40gm (C),5,133120,"7,050.00"
2026,February,Barishal Zone,Brown Atta 1 kg,7,133120,"115,425.00"
2026,February,Barishal Zone,Chicken Masala 100gm (C),3,133120,"6,031.00"
2026,February,Barishal Zone,Chinigura Premium 1 kg (T),8,133120,"506,117.00"
2026,February,Barishal Zone,Deshi Basmoti 5 Kg (T),4,133120,"46,460.00"
2026,February,Barishal Zone,Essential Miniket 10 kg(T),2,133120,"7,190.00"
2026,February,Barishal Zone,Essential Mustard Oil 16 Kg Tin,8,133120,"1,658,240.00"
2026,February,Barishal Zone,Essential Mustard Oil 8 Kg Tin,7,133120,"422,810.00"
2026,February,Barishal Zone,Essentials Chili Powder 5 Kg,3,133120,"33,585.00"
2026,February,Barishal Zone,Iodized Salt 1 kg,8,133120,"228,101.50"
2026,February,Barishal Zone,Iodized Salt 500gm,2,133120,"13,545.00"
2026,February,Barishal Zone,Katari Najir 10 kg (T),1,133120,940.00
2026,February,Barishal Zone,Katari Najir 5 kg (T),7,133120,"56,455.00"
2026,February,Barishal Zone,Lachcha Semai 200gm (C),5,133120,"48,868.00"
2026,February,Barishal Zone,Lentil Medium- 25 Kg (C),1,133120,"15,540.00"
2026,February,Barishal Zone,Maida 1 kg,7,133120,"61,487.50"
2026,February,Barishal Zone,Maida 25 kg (C),4,133120,"49,400.00"
2026,February,Barishal Zone,Meat Masala 100gm (C),2,133120,"5,796.00"
2026,February,Barishal Zone,Miniket 25 kg (C),1,133120,"40,500.00"
2026,February,Barishal Zone,Miniket 5 kg (T),7,133120,"79,590.00"
2026,February,Barishal Zone,Mustard Oil 5 Liter,7,133120,"49,720.00"
2026,February,Barishal Zone,Mustard Oil 8 Liter,3,133120,"18,010.00"
2026,February,Barishal Zone,Mustard oil 1000 ML,6,133120,"14,892.00"
2026,February,Barishal Zone,Mustard oil 200 ML,8,133120,"37,000.00"
2026,February,Barishal Zone,Mustard oil 500 ML,7,133120,"22,650.00"
2026,February,Barishal Zone,Mustard oil 80 ML,7,133120,"42,691.50"
2026,February,Barishal Zone,Premium Basmati 1 kg (T),3,133120,"12,950.00"
2026,February,Barishal Zone,Premium katari Ghee Bhog 5 kg (T),2,133120,"3,465.00"
2026,February,Barishal Zone,Roast Masala 35gm (C),5,133120,"5,665.00"
2026,February,Barishal Zone,Suji 500 g,7,133120,"90,021.00"
2026,February,Barishal Zone,Tea DUST 500 gm,4,133120,"38,805.00"
2026,February,Barishal Zone,Tea LEAF 500 gm,6,133120,"49,170.00"
2026,February,Bhola Zone,Atta 1 kg,5,41600,"341,907.00"
2026,February,Bhola Zone,Atta 25 kg,4,41600,"60,950.00"
2026,February,Bhola Zone,Atta 5 kg,3,41600,"5,904.00"
2026,February,Bhola Zone,Biryani Masala 40gm (C),4,41600,"9,200.00"
2026,February,Bhola Zone,Brown Atta 1 kg,5,41600,"30,951.00"
2026,February,Bhola Zone,Chicken Masala 100gm (C),4,41600,"3,015.50"
2026,February,Bhola Zone,Chinigura Premium 1 kg (T),4,41600,"59,555.00"
2026,February,Bhola Zone,Essential Mustard Oil 16 Kg Tin,5,41600,"512,080.00"
2026,February,Bhola Zone,Essential Mustard Oil 8 Kg Tin,4,41600,"205,510.00"
2026,February,Bhola Zone,Essential Puffed Rice 400 Gm,3,41600,"4,860.00"
2026,February,Bhola Zone,Essentials Chili Powder 5 Kg,1,41600,"1,625.00"
2026,February,Bhola Zone,Iodized Salt 1 kg,5,41600,"177,282.00"
2026,February,Bhola Zone,Iodized Salt 500gm,2,41600,822.50
2026,February,Bhola Zone,Katari Najir 5 kg (T),4,41600,"9,005.00"
2026,February,Bhola Zone,Lachcha Semai 200gm (C),5,41600,"128,174.00"
2026,February,Bhola Zone,Lentil Medium- 25 Kg (C),2,41600,"8,920.00"
2026,February,Bhola Zone,Maida 1 kg,5,41600,"30,091.50"
2026,February,Bhola Zone,Maida 25 kg (C),2,41600,"13,000.00"
2026,February,Bhola Zone,Meat Masala 100gm (C),3,41600,"3,360.00"
2026,February,Bhola Zone,Miniket 5 kg (T),5,41600,"25,915.00"
2026,February,Bhola Zone,Mustard Oil 8 Liter,2,41600,"8,470.00"
2026,February,Bhola Zone,Mustard oil 1000 ML,3,41600,"18,980.00"
2026,February,Bhola Zone,Mustard oil 200 ML,5,41600,"37,937.50"
2026,February,Bhola Zone,Mustard oil 500 ML,5,41600,"8,909.00"
2026,February,Bhola Zone,Mustard oil 80 ML,5,41600,"41,923.00"
2026,February,Bhola Zone,Premium Basmati 1 kg (T),2,41600,"6,650.00"
2026,February,Bhola Zone,Premium katari Ghee Bhog 5 kg (T),1,41600,990.00
2026,February,Bhola Zone,Red Lentil 1 kg,1,41600,"2,166.00"
2026,February,Bhola Zone,Roast Masala 35gm (C),4,41600,"7,425.00"
2026,February,Bhola Zone,Suji 500 g,5,41600,"162,837.00"
2026,February,Bhola Zone,Tea LEAF 500 gm,3,41600,"11,385.00"
2026,February,Bogura Zone,Atta 1 kg,6,74880,"502,725.00"
2026,February,Bogura Zone,Atta 2 kg,1,74880,812.00
2026,February,Bogura Zone,Atta 5 kg,2,74880,"12,792.00"
2026,February,Bogura Zone,Biryani Masala 40gm (C),3,74880,"5,250.00"
2026,February,Bogura Zone,Brown Atta 1 kg,6,74880,"127,110.00"
2026,February,Bogura Zone,Chicken Masala 100gm (C),2,74880,"3,993.50"
2026,February,Bogura Zone,Chinigura Premium 1 kg (T),5,74880,"228,559.00"
2026,February,Bogura Zone,Essential Mustard Oil 16 Kg Tin,3,74880,"108,840.00"
2026,February,Bogura Zone,Essential Mustard Oil 8 Kg Tin,1,74880,"5,030.00"
2026,February,Bogura Zone,Essential Puffed Rice 400 Gm,4,74880,"25,056.00"
2026,February,Bogura Zone,Essentials Turmeric Powder 5 Kg,1,74880,"1,625.00"
2026,February,Bogura Zone,Iodized Salt 1 kg,6,74880,"204,484.00"
2026,February,Bogura Zone,Iodized Salt 500gm,5,74880,"100,065.00"
2026,February,Bogura Zone,Katari Ghee Bhog 25 kg (C),1,74880,"2,200.00"
2026,February,Bogura Zone,Lachcha Semai 200gm (C),4,74880,"25,498.00"
2026,February,Bogura Zone,Maida 1 kg,3,74880,"34,896.00"
2026,February,Bogura Zone,Maida 25 kg (C),1,74880,"1,300.00"
2026,February,Bogura Zone,Meat Masala 100gm (C),2,74880,"1,512.00"
2026,February,Bogura Zone,Mustard oil 1000 ML,2,74880,"5,840.00"
2026,February,Bogura Zone,Mustard oil 200 ML,3,74880,"13,187.50"
2026,February,Bogura Zone,Mustard oil 500 ML,3,74880,"5,587.00"
2026,February,Bogura Zone,Mustard oil 80 ML,4,74880,"34,741.50"
2026,February,Bogura Zone,Premium Basmati 1 kg (T),3,74880,"8,750.00"
2026,February,Bogura Zone,Red Lentil 1 kg,1,74880,570.00
2026,February,Bogura Zone,Roast Masala 35gm (C),1,74880,"1,210.00"
2026,February,Bogura Zone,Suji 200 g,6,74880,"27,616.00"
2026,February,Bogura Zone,Suji 500 g,6,74880,"57,905.00"
2026,February,Brahmanbaria Zone,Atta 1 kg,8,74880,"1,400,830.50"
2026,February,Brahmanbaria Zone,Atta 2 kg,5,74880,"347,449.00"
2026,February,Brahmanbaria Zone,Atta 5 kg,8,74880,"535,050.00"
2026,February,Brahmanbaria Zone,Biryani Masala 40gm (C),7,74880,"13,850.00"
2026,February,Brahmanbaria Zone,Brown Atta 1 kg,8,74880,"130,017.00"
2026,February,Brahmanbaria Zone,Chicken Masala 100gm (C),1,74880,815.00
2026,February,Brahmanbaria Zone,Chinigura Premium 1 kg (T),8,74880,"891,711.00"
2026,February,Brahmanbaria Zone,Essential Miniket 10 kg(T),2,74880,"9,900.00"
2026,February,Brahmanbaria Zone,Essential Mustard Oil 16 Kg Tin,8,74880,"345,760.00"
2026,February,Brahmanbaria Zone,Essential Mustard Oil 8 Kg Tin,4,74880,"68,490.00"
2026,February,Brahmanbaria Zone,Essential Puffed Rice 400 Gm,6,74880,"92,448.00"
2026,February,Brahmanbaria Zone,Essentials Chili Powder 5 Kg,2,74880,"41,470.00"
2026,February,Brahmanbaria Zone,Essentials Turmeric Powder 5 Kg,5,74880,"39,815.00"
2026,February,Brahmanbaria Zone,Iodized Salt 1 kg,8,74880,"1,165,465.00"
2026,February,Brahmanbaria Zone,Iodized Salt 500gm,8,74880,"226,905.00"
2026,February,Brahmanbaria Zone,Katari Ghee Bhog 25 kg (C),1,74880,"2,200.00"
2026,February,Brahmanbaria Zone,Katari Najir 10 kg (T),4,74880,"99,580.00"
2026,February,Brahmanbaria Zone,Katari Najir 25 kg (C),1,74880,"4,120.00"
2026,February,Brahmanbaria Zone,Katari Najir 5 kg (T),7,74880,"44,165.00"
2026,February,Brahmanbaria Zone,Lachcha Semai 200gm (C),7,74880,"71,212.00"
2026,February,Brahmanbaria Zone,Lentil Medium- 25 Kg (C),2,74880,"50,100.00"
2026,February,Brahmanbaria Zone,Maida 1 kg,8,74880,"153,124.50"
2026,February,Brahmanbaria Zone,Maida 25 kg (C),1,74880,"13,000.00"
2026,February,Brahmanbaria Zone,Meat Masala 100gm (C),2,74880,"1,764.00"
2026,February,Brahmanbaria Zone,Miniket 25 kg (C),1,74880,"14,175.00"
2026,February,Brahmanbaria Zone,Miniket 5 kg (T),7,74880,"14,100.00"
2026,February,Brahmanbaria Zone,Mustard Oil 5 Liter,3,74880,"18,080.00"
2026,February,Brahmanbaria Zone,Mustard oil 1000 ML,4,74880,"8,760.00"
2026,February,Brahmanbaria Zone,Mustard oil 200 ML,8,74880,"107,312.50"
2026,February,Brahmanbaria Zone,Mustard oil 250 ML,2,74880,"1,771.00"
2026,February,Brahmanbaria Zone,Mustard oil 500 ML,7,74880,"33,069.00"
2026,February,Brahmanbaria Zone,Mustard oil 80 ML,8,74880,"52,549.50"
2026,February,Brahmanbaria Zone,Premium Basmati 1 kg (T),6,74880,"43,750.00"
2026,February,Brahmanbaria Zone,Premium katari Ghee Bhog 5 kg (T),5,74880,"113,355.00"
2026,February,Brahmanbaria Zone,Red Lentil 1 kg,4,74880,"4,104.00"
2026,March,Agrabad Zone,Atta 1 kg,4,71280,"214,624.00"
2026,March,Agrabad Zone,Atta 25 kg,1,71280,"5,750.00"
2026,March,Agrabad Zone,Atta 5 kg,3,71280,"14,396.00"
2026,March,Agrabad Zone,Biryani Masala 40gm (C),1,71280,700.00
2026,March,Agrabad Zone,Brown Atta 1 kg,4,71280,"44,175.00"
2026,March,Agrabad Zone,Chicken Masala 100gm (C),1,71280,652.00
2026,March,Agrabad Zone,Chickpeas Clean 1 Kg (C),1,71280,920.00
2026,March,Agrabad Zone,Chinigura Premium 1 kg (T),4,71280,"408,477.00"
2026,March,Agrabad Zone,Essential Miniket 10 kg(T),1,71280,"2,640.00"
2026,March,Agrabad Zone,Essential Mustard Oil 16 Kg Tin,4,71280,"380,250.00"
2026,March,Agrabad Zone,Essential Mustard Oil 8 Kg Tin,3,71280,"65,715.00"
2026,March,Agrabad Zone,Essential Puffed Rice 400 Gm,1,71280,"2,376.00"
2026,March,Agrabad Zone,Iodized Salt 1 kg,3,71280,"57,452.50"
2026,March,Agrabad Zone,Iodized Salt 500gm,4,71280,"33,355.00"
2026,March,Agrabad Zone,Katari Najir 5 kg (T),4,71280,"13,650.00"
2026,March,Agrabad Zone,Lachcha Semai 200gm (C),4,71280,"59,850.00"
2026,March,Agrabad Zone,Lentil Medium- 25 Kg (C),1,71280,"41,400.00"
2026,March,Agrabad Zone,Maida 1 kg,3,71280,"86,376.00"
2026,March,Agrabad Zone,Maida 25 kg (C),2,71280,"16,900.00"
2026,March,Agrabad Zone,Meat Masala 100gm (C),1,71280,168.00
2026,March,Agrabad Zone,Miniket 5 kg (T),3,71280,"4,015.00"
2026,March,Agrabad Zone,Mustard Oil 5 Liter,2,71280,"13,440.00"
